atom_id,molecule_id,element,type,charge
sY,O,c,22,0.062
sZ,O,c,3,0.168
ta,O,c,3,-0.085
tb,O,h,3,0.473
tc,O,c,22,0.2
td,O,h,22,0.378
te,O,c,40,-0.01
tf,O,c,3,-0.094
tg,O,h,3,0.123
th,O,c,22,0.068
ti,O,h,40,0.288
tj,O,n,22,-0.102
tk,O,i,22,-0.273
tl,O,c,27,0.386
tm,O,h,3,0.294
tn,O,c,3,-0.019
to,O,h,3,0.04
tp,O,c,3,-0.064
tq,O,n,22,-0.388
tr,O,c,42,-0.207
ts,O,c,3,0.238
tt,O,c,3,0.175
tu,P,h,29,0.131
tv,P,o,16,0.364
tw,P,h,42,0.464
tx,P,n,22,-0.501
ty,P,c,3,-0.359
tz,P,i,3,-0.191
tA,P,h,3,0.412
tB,P,c,3,0.543
tC,P,c,22,0.06
tD,P,h,40,0.222
tE,P,o,3,-0.269
tF,P,h,3,-0.203
tG,P,c,42,-0.756
tH,P,h,28,0.239
tI,P,n,3,0.066
tJ,P,c,22,0.265
tK,P,c,29,-0.042
tL,Q,c,40,-0.06
tM,Q,c,3,0.104
tN,Q,c,22,0.258
tO,Q,o,3,0.099
tP,Q,c,40,-0.055
tQ,Q,h,40,0.082
tR,Q,c,22,-0.02
tS,Q,c,3,-0.174
tT,Q,c,40,-0.149
tU,Q,h,3,-0.34
tV,Q,h,27,0.139
tW,Q,c,22,0.091
tX,Q,n,27,0.177
tY,Q,c,3,-0.03
tZ,Q,c,3,0.357
ua,Q,o,3,0.145
ub,Q,c,3,-0.09
uc,Q,c,22,0.435
ud,Q,h,3,-0.257
ue,Q,h,27,-0.025
uf,Q,h,27,0.232
ug,Q,h,38,-0.037
uh,Q,h,27,-0.294
ui,Q,c,3,-0.191
uj,Q,h,27,0.12
uk,Q,o,22,0.061
ul,Q,o,3,-0.186
um,R,c,3,-0.023
un,R,c,40,-0.331
uo,R,c,40,0.029
up,R,o,22,0.045
uq,R,h,3,-0.155
ur,R,h,3,0.04
us,R,h,3,0.134
ut,R,c,3,0.182
uu,R,c,22,0.172
uv,R,c,3,0.034
uw,R,h,22,0.079
ux,R,o,22,-0.042
uy,R,c,40,-0.045
uz,R,c,3,0.194
uA,R,h,40,-0.185
uB,R,h,22,-0.095
uC,R,c,3,-0.05
uD,R,h,3,-0.205
uE,R,c,40,-0.084
uF,R,h,3,-0.064
uG,R,h,22,0.366
uH,R,h,3,-0.074
uI,R,o,3,0.077
uJ,R,h,22,0.191
uK,R,h,38,0.122
uL,R,c,40,-0.063
uM,R,h,3,0.196
uN,R,c,38,0.349
uO,R,c,22,0.006
uP,S,o,22,-0.102
uQ,S,h,38,0.171
uR,S,c,3,-0.399
uS,S,c,14,0.07
uT,S,h,3,0.155
uU,S,c,3,-0.404
uV,S,h,3,0.459
uW,S,o,3,-0.148
uX,S,o,22,0.541
uY,S,c,3,0.048
uZ,S,o,22,-0.021
va,S,c,3,0.545
vb,S,h,3,0.103
vc,S,c,14,0.101
vd,S,h,3,0.3
ve,S,i,22,0.282
vf,S,h,3,0.208
vg,S,i,3,0.291
vh,S,n,22,-0.132
vi,S,h,40,-0.433
vj,S,h,3,-0.238
vk,S,h,3,0.455
vl,T,c,22,0.02
vm,T,c,22,-0.423
vn,T,h,27,-0.121
vo,T,h,3,0.06
vp,T,c,22,-0.41
vq,T,h,1,-0.11
vr,T,h,3,-0.034
vs,T,o,27,-0.486
vt,T,c,3,0.096
vu,T,c,40,0.497
vv,T,c,22,0.312
vw,T,c,22,0.033
vx,T,h,3,-0.014
vy,T,h,40,0.239
vz,T,h,40,0.063
vA,T,c,22,0.241
vB,T,c,22,-0.01
vC,T,h,3,0.011
vD,T,c,22,-0.074
vE,T,i,42,0.138
vF,T,c,22,-0.297
vG,U,n,29,-0.044
vH,U,h,3,0.315
vI,U,c,3,0.1
vJ,U,h,3,0.249
vK,U,h,3,-0.083
vL,U,c,1,0.195
vM,U,c,3,-0.199
vN,U,h,27,0.297
vO,U,h,3,0.13
vP,U,c,3,0.175
vQ,U,c,38,-0.48
vR,U,c,40,-0.035
vS,U,o,40,0.167
vT,U,c,40,0.551
vU,U,c,22,0.358
vV,U,h,3,0.47
vW,U,c,22,0.096
vX,U,i,40,0.205
vY,U,h,22,0.07
vZ,U,c,40,-0.382
wa,U,c,3,0.013
wb,U,c,3,0.302
wc,U,h,22,0.276
wd,U,h,22,-0.093
we,U,c,40,0.191
wf,U,c,3,-0.089
wg,U,c,3,0.433
wh,U,c,3,0.029
wi,U,h,3,0.802
wj,U,c,27,0.064
wk,U,o,22,0.092
wl,U,h,22,-0.127
wm,U,h,40,0.003
wn,U,c,42,0.149
wo,U,c,40,0.24
wp,U,h,3,0.075
wq,U,h,3,0.058
wr,U,h,22,-0.116
ws,U,c,3,-0.028
wt,U,h,40,0.31
wu,V,c,27,0.148
wv,V,h,3,0.008
ww,V,c,42,0.163
wx,V,c,40,-0.394
wy,V,h,22,0.211
wz,V,h,3,0.371
wA,V,n,22,0.114
wB,V,h,3,-0.133
wC,V,h,3,0.49
wD,V,c,3,0.037
wE,V,c,1,0.135
wF,V,c,38,-0.001
wG,V,c,3,-0.121
wH,V,c,10,-0.079
wI,V,o,3,0.277
wJ,V,c,3,-0.189
wK,V,i,22,-0.244
wL,V,c,42,0.11
wM,V,c,40,0.134
wN,V,h,3,-0.183
wO,V,h,3,0.178
wP,V,o,22,-0.261
wQ,V,h,3,-0.203
wR,V,c,40,-0.05
wS,V,c,42,-0.258
wT,V,c,40,-0.119
wU,V,i,22,0.0
wV,W,c,3,-0.192
wW,W,c,40,-0.521
wX,W,c,3,0.08
wY,W,h,40,-0.025
wZ,W,c,22,0.126
xa,W,c,3,-0.367
xb,W,h,3,0.126
xc,W,c,38,-0.261
xd,W,i,38,-0.207
xe,W,c,22,-0.389
xf,W,h,40,0.095
xg,W,h,38,0.28
xh,W,c,3,-0.336
xi,W,c,22,-0.196
xj,W,h,40,-0.207
xk,W,h,3,0.137
xl,W,h,40,-0.293
xm,W,h,40,0.264
xn,W,c,3,0.101
xo,W,i,42,0.01
xp,W,c,3,0.232
xq,W,c,38,-0.07
xr,W,h,22,0.007
xs,W,h,40,0.315
xt,W,c,40,-0.349
xu,W,h,40,-0.375
xv,W,h,3,0.407
xw,W,c,40,0.207
xx,W,h,40,-0.219
xy,W,o,3,0.172
xz,W,c,27,0.288
xA,W,h,42,-0.182
xB,W,c,3,0.223
xC,X,h,22,0.168
xD,X,h,22,0.097
xE,X,c,22,0.078
xF,X,c,22,-0.058
xG,X,h,40,-0.077
xH,X,h,40,-0.244
xI,X,c,3,0.273
xJ,X,c,22,0.032
xK,X,h,22,0.077
xL,X,c,22,0.209
xM,X,h,22,0.254
xN,X,c,3,-0.309
xO,X,h,27,-0.342
xP,X,c,22,0.116
xQ,X,h,38,-0.137
xR,X,c,22,0.088
xS,X,c,3,-0.165
xT,X,c,22,-0.53
xU,X,c,22,-0.621
xV,X,c,22,-0.259
xW,X,c,22,-0.14
xX,X,c,3,-0.013
xY,X,h,40,-0.219
xZ,X,c,22,0.142
ya,X,h,3,-0.075
yb,X,c,22,0.202
yc,X,h,22,0.349
yd,X,c,3,0.102
ye,Y,h,22,0.036
yf,Y,c,22,0.197
yg,Y,h,3,-0.239
yh,Y,h,40,0.038
yi,Y,c,40,0.099
yj,Y,h,22,0.048
yk,Y,c,27,-0.314
yl,Y,c,3,-0.04
ym,Y,c,22,-0.135
yn,Y,c,40,-0.265
yo,Y,h,3,0.007
yp,Y,c,22,0.097
yq,Y,h,40,-0.195
yr,Y,c,27,-0.174
ys,Y,h,22,0.118
yt,Y,c,29,-0.043
yu,Y,h,22,0.19
yv,Y,c,22,-0.331
yw,Y,c,22,0.326
yx,Y,c,22,-0.229
yy,Y,c,3,0.019
yz,Y,h,22,0.158
yA,Y,c,22,-0.128
yB,Y,h,40,0.141
yC,Y,c,22,-0.118
yD,Y,c,22,-0.271
yE,Y,c,3,0.209
yF,Y,h,40,-0.126
yG,Y,h,22,0.065
yH,Y,c,3,-0.197
yI,Z,c,40,0.112
yJ,Z,h,3,0.101
yK,Z,c,42,-0.081
yL,Z,c,3,-0.123
yM,Z,h,3,0.019
yN,Z,c,3,0.159
yO,Z,c,42,-0.205
yP,Z,h,22,0.177
yQ,Z,h,22,0.059
yR,Z,c,3,-0.277
yS,Z,h,22,0.298
yT,Z,c,27,0.026
yU,Z,c,42,-0.412
yV,Z,c,40,0.088
yW,Z,c,3,-0.117
yX,Z,c,40,-0.104
yY,Z,c,10,-0.256
yZ,Z,c,3,0.004
za,Z,h,3,0.057
zb,Z,c,40,0.076
zc,Z,c,29,0.119
zd,Z,c,42,-0.284
ze,Z,c,3,0.045
zf,Z,c,40,-0.058
zg,Z,c,3,0.086
zh,Z,i,22,0.148
zi,Z,h,3,0.079
zj,Z,c,42,0.144
zk,Z,o,22,0.037
zl,aa,h,22,0.233
zm,aa,c,3,0.348
zn,aa,c,27,0.161
zo,aa,h,22,0.071
zp,aa,h,22,0.124
zq,aa,c,3,0.234
zr,aa,o,3,0.224
zs,aa,h,3,-0.031
zt,aa,c,8,-0.272
zu,aa,h,22,-0.004
zv,aa,c,38,-0.155
zw,aa,c,3,-0.081
zx,aa,c,38,0.319
zy,aa,h,22,0.23
zz,aa,c,3,-0.053
zA,aa,h,22,0.332
zB,aa,c,40,0.027
zC,aa,h,22,-0.283
zD,aa,h,26,-0.302
zE,aa,c,27,0.178
zF,aa,h,3,0.424
zG,aa,c,22,-0.081
zH,aa,c,40,-0.319
zI,aa,h,3,0.168
zJ,aa,c,29,-0.337
zK,aa,h,22,-0.091
zL,ab,o,22,0.277
zM,ab,h,22,-0.325
zN,ab,h,3,-0.573
zO,ab,c,3,-0.186
zP,ab,c,29,-0.251
zQ,ab,c,22,-0.279
zR,ab,h,3,-0.193
zS,ab,i,22,-0.092
zT,ab,c,22,0.591
zU,ab,c,3,-0.335
zV,ab,c,10,-0.068
zW,ab,i,22,-0.432
zX,ab,c,27,0.19
zY,ab,c,3,-0.359
zZ,ab,h,3,0.354
Aa,ab,i,22,-0.016
Ab,ab,i,3,0.093
Ac,ab,h,38,-0.205
Ad,ac,c,22,-0.059
Ae,ac,c,22,0.275
Af,ac,c,22,0.442
Ag,ac,c,3,0.364
Ah,ac,c,22,-0.207
Ai,ac,c,3,0.081
Aj,ac,c,3,-0.029
Ak,ac,c,3,-0.014
Al,ac,c,3,-0.29
Am,ac,c,3,-0.18
An,ac,h,3,-0.384
Ao,ac,c,22,0.26
Ap,ac,h,3,0.019
Aq,ac,c,22,-0.152
Ar,ac,o,3,0.148
As,ac,h,27,0.08
At,ac,c,22,-0.058
Au,ac,h,22,0.121
Av,ac,c,3,-0.231
Aw,ac,c,3,-0.128
Ax,ac,c,22,-0.039
Ay,ac,o,38,0.013
Az,ac,o,3,0.004
AA,ad,c,27,0.023
AB,ad,c,3,0.112
AC,ad,h,22,0.003
AD,ad,c,3,-0.209
AE,ad,c,1,-0.078
AF,ad,h,22,0.145
AG,ad,c,27,-0.24
AH,ad,h,22,0.007
AI,ad,h,22,0.198
AJ,ad,c,40,-0.106
AK,ad,c,38,0.059
AL,ad,c,40,-0.142
AM,ad,c,3,0.31
AN,ad,c,28,-0.047
AO,ad,c,29,-0.02
AP,ad,h,22,-0.027
AQ,ad,c,3,-0.084
AR,ad,c,3,-0.137
AS,ad,c,3,0.113
AT,ad,h,3,-0.227
AU,ad,o,22,0.071
AV,ad,h,22,-0.071
AW,ad,c,40,0.021
AX,ad,c,42,-0.449
AY,ad,c,3,-0.044
AZ,ad,c,3,0.177
Ba,ae,c,3,0.101
Bb,ae,c,22,0.294
Bc,ae,n,22,-0.115
Bd,ae,h,22,0.287
Be,ae,c,22,0.406
Bf,ae,h,3,-0.216
Bg,ae,c,29,0.249
Bh,ae,h,22,0.328
Bi,ae,c,3,0.318
Bj,ae,o,22,-0.025
Bk,ae,c,3,-0.328
Bl,ae,h,40,0.036
Bm,ae,h,22,-0.263
Bn,ae,h,3,-0.027
Bo,ae,h,22,0.522
Bp,ae,h,3,0.083
Bq,ae,c,22,0.335
Br,ae,h,3,-0.018
Bs,ae,c,3,-0.173
Bt,ae,c,22,-0.17
Bu,af,o,38,0.216
Bv,af,o,40,-0.036
Bw,af,h,3,0.109
Bx,af,h,40,0.263
By,af,c,22,-0.072
Bz,af,h,3,-0.044
BA,af,h,3,-0.343
BB,af,n,40,-0.036
BC,af,o,3,-0.167
BD,af,c,3,-0.436
BE,af,h,3,0.005
BF,af,n,42,-0.367
BG,af,h,3,0.319
BH,af,h,3,-0.349
BI,af,h,3,-0.134
BJ,af,c,3,0.666
BK,af,h,22,-0.038
BL,af,c,22,0.235
BM,af,c,3,-0.077
BN,af,h,3,-0.043
BO,ag,c,3,-0.173
BP,ag,c,3,-0.473
BQ,ag,c,40,0.258
BR,ag,c,3,0.065
BS,ag,h,3,-0.003
BT,ag,c,38,-0.343
BU,ag,c,40,0.405
BV,ag,h,3,-0.035
BW,ag,h,3,-0.282
BX,ag,h,3,0.073
BY,ag,o,3,-0.071
BZ,ag,o,22,0.397
Ca,ag,c,3,0.339
Cb,ag,h,3,-0.024
Cc,ag,c,3,-0.333
Cd,ag,h,22,0.114
Ce,ag,c,40,0.104
Cf,ag,n,3,0.26
Cg,ag,c,3,0.218
Ch,ag,o,22,0.011
Ci,ag,c,22,-0.246
Cj,ag,c,40,0.17
Ck,ag,o,27,-0.461
Cl,ag,h,22,0.488
Cm,ah,c,22,0.423
Cn,ah,c,22,0.294
Co,ah,c,38,-0.296
Cp,ah,o,40,0.04
Cq,ah,c,3,-0.07
Cr,ah,c,3,0.312
Cs,ah,c,22,0.17
Ct,ah,h,42,-0.043
Cu,ah,c,22,0.067
Cv,ah,h,40,0.181
Cw,ah,h,3,-0.126
Cx,ah,h,3,-0.026
Cy,ah,c,22,-0.13
Cz,ah,h,40,0.237
CA,ah,h,22,0.032
CB,ah,c,27,0.145
CC,ah,h,40,-0.21
CD,ah,c,40,0.016
CE,ah,c,3,0.298
CF,ah,h,27,-0.03
CG,ah,c,3,-0.549
CH,ah,h,3,0.17
CI,ah,h,38,-0.124
CJ,ah,c,22,-0.114
CK,ah,c,22,0.156
CL,ah,o,22,0.015
CM,ah,c,22,-0.299
CN,ah,c,22,0.219
CO,ah,c,3,-0.004
CP,ai,c,3,0.042
CQ,ai,c,3,0.053
CR,ai,i,38,-0.173
CS,ai,c,3,-0.127
CT,ai,c,3,-0.188
CU,ai,h,3,-0.014
CV,ai,c,3,0.109
CW,ai,c,3,-0.112
CX,ai,c,40,-0.007
CY,ai,h,22,-0.06
CZ,ai,h,3,-0.138
Da,ai,c,3,-0.137
Db,ai,h,3,-0.392
Dc,ai,c,40,-0.143
Dd,ai,c,3,-0.184
De,ai,c,3,-0.2
Df,ai,h,22,0.141
Dg,ai,c,40,0.058
Dh,ai,c,3,0.208
Di,ai,o,3,-0.215
Dj,ai,c,3,0.37
Dk,ai,h,3,0.159
Dl,ai,h,22,-0.203
Dm,ai,o,3,-0.159
Dn,ai,c,22,-0.263
Do,ai,h,3,0.083
Dp,ai,c,42,0.154
Dq,ai,c,22,-0.065
Dr,ai,c,40,-0.001
Ds,ai,c,3,-0.132
Dt,ai,c,3,-0.211
Du,ai,h,22,0.068
Dv,ai,c,3,-0.009
Dw,ai,c,3,0.023
Dx,ai,c,3,0.187
Dy,aj,c,3,-0.193
Dz,aj,c,3,-0.137
DA,aj,h,3,-0.58
DB,aj,h,40,-0.009
DC,aj,c,22,0.081
DD,aj,c,22,0.089
DE,aj,c,22,0.284
DF,aj,c,22,-0.754
DG,aj,h,3,-0.209
DH,aj,n,29,-0.473
DI,aj,h,3,-0.248
DJ,aj,i,42,0.05
DK,aj,o,40,0.793
DL,aj,h,3,0.206
DM,aj,i,40,-0.233
DN,aj,o,38,0.011
DO,aj,h,3,-0.781
DP,aj,o,40,0.12
DQ,aj,h,3,-0.599
DR,aj,h,40,0.893
DS,ak,o,3,0.101
DT,ak,h,3,0.241
DU,ak,c,40,0.195
DV,ak,c,3,0.664
DW,ak,h,22,0.158
DX,ak,c,3,0.109
DY,ak,n,3,-0.108
DZ,ak,c,22,0.185
Ea,ak,h,3,-0.128
Eb,ak,h,22,0.341
Ec,ak,c,42,-0.145
Ed,ak,h,3,0.089
Ee,ak,c,3,0.268
Ef,ak,h,3,0.117
Eg,ak,h,40,-0.034
Eh,ak,c,3,0.511
Ei,ak,c,38,-0.19
Ej,ak,h,40,-0.102
Ek,ak,h,3,0.219
El,ak,c,3,-0.028
Em,ak,c,3,-0.391
En,ak,c,40,0.125
Eo,ak,o,3,-0.058
Ep,ak,h,3,0.158
Eq,ak,c,38,-0.02
Er,ak,c,40,-0.411
Es,ak,c,27,0.484
Et,ak,h,3,-0.452
Eu,ak,c,3,0.197
Ev,al,c,3,0.41
Ew,al,c,22,-0.175
Ex,al,h,3,0.391
Ey,al,o,3,0.027
Ez,al,o,3,0.264
EA,al,i,42,-0.302
EB,al,c,3,-0.497
EC,al,c,22,-0.218
ED,al,i,42,0.758
EE,al,h,27,-0.194
EF,al,h,38,-0.011
EG,al,h,27,0.106
EH,al,i,3,-0.188
EI,al,h,3,-0.297
EJ,al,h,27,0.042
EK,al,c,22,0.357
EL,al,h,3,-0.118
EM,al,h,3,0.125
EN,al,h,3,-0.134
EO,al,c,22,-0.185
EP,al,c,22,0.338
EQ,al,i,29,-0.252
ER,al,h,3,0.039
ES,al,c,22,0.067
ET,al,h,22,0.839
EU,al,h,40,0.187
EV,al,o,3,-0.112
EW,am,c,42,-0.386
EX,am,h,3,0.423
EY,am,c,22,-0.171
EZ,am,i,22,0.262
Fa,am,c,40,0.31
Fb,am,h,3,0.385
Fc,am,o,27,-0.059
Fd,am,n,3,0.197
Fe,am,c,22,-0.325
Ff,am,c,22,0.26
Fg,am,c,40,0.902
Fh,am,n,22,-0.07
Fi,am,c,3,0.158
Fj,am,h,3,-0.262
Fk,am,c,3,0.257
Fl,am,h,3,0.009
Fm,am,h,22,0.316
Fn,am,h,22,0.102
Fo,am,c,38,-0.16
Fp,am,h,40,0.179
Fq,am,h,3,0.002
Fr,an,c,3,0.218
Fs,an,c,42,0.398
Ft,an,i,22,-0.292
Fu,an,c,3,-0.588
Fv,an,h,3,-0.448
Fw,an,h,22,-0.637
Fx,an,c,22,-0.146
Fy,an,c,40,0.202
Fz,an,h,3,-0.415
FA,an,c,3,-0.665
FB,an,h,3,-0.198
FC,an,i,22,-0.079
FD,an,h,29,-0.053
FE,an,o,3,0.325
FF,an,h,3,-0.063
FG,an,o,22,0.187
FH,an,i,22,0.149
FI,an,h,3,0.017
FJ,an,c,28,-0.108
FK,an,c,3,-0.112
FL,an,i,40,-0.034
FM,an,c,27,0.168
FN,an,n,22,0.01
FO,an,h,22,-0.209
FP,an,c,42,-0.612
FQ,ao,c,3,0.023
FR,ao,h,3,0.081
FS,ao,c,45,-0.301
FT,ao,c,3,-0.173
FU,ao,c,40,-0.104
FV,ao,c,3,0.132
FW,ao,c,3,-0.025
FX,ao,c,40,-0.006
FY,ao,c,3,-0.254
FZ,ao,h,3,0.023
Ga,ao,h,22,0.008
Gb,ao,h,22,0.383
Gc,ao,h,3,-0.205
Gd,ao,o,22,0.156
Ge,ao,c,3,-0.135
Gf,ao,c,40,-0.104
Gg,ao,h,22,0.549
Gh,ao,c,3,0.219
Gi,ao,h,3,0.259
Gj,ao,h,22,0.261
Gk,ao,c,3,-0.076
Gl,ao,c,28,0.006
Gm,ao,c,40,-0.163
Gn,ao,h,3,-0.12
Go,ao,c,27,0.339
Gp,ao,c,3,-0.233
Gq,ao,c,40,0.073
Gr,ao,c,3,-0.177
Gs,ao,h,22,0.039
Gt,ao,c,27,0.122
Gu,ap,c,40,0.153
Gv,ap,c,22,0.014
Gw,ap,h,42,-0.183
Gx,ap,c,3,0.133
Gy,ap,i,27,-0.295
Gz,ap,c,3,0.42
GA,ap,h,3,0.343
GB,ap,h,3,0.048
GC,ap,i,40,0.212
GD,ap,h,3,-0.203
GE,ap,c,40,-0.597
GF,ap,c,22,0.338
GG,ap,c,22,-0.567
GH,ap,h,22,0.048
GI,ap,c,3,-0.412
GJ,ap,h,3,-0.325
GK,ap,h,40,0.062
GL,ap,c,3,-0.512
GM,aq,c,22,-0.398
GN,aq,c,22,-0.153
GO,aq,h,3,0.14
GP,aq,h,27,0.316
GQ,aq,c,42,0.047
GR,aq,c,22,0.047
GS,aq,h,40,-0.201
GT,aq,h,22,0.454
GU,aq,c,3,-0.079
GV,aq,c,3,-0.038
GW,aq,i,3,0.356
GX,aq,i,3,0.049
GY,aq,h,40,-0.106
GZ,aq,h,22,-0.061
Ha,aq,h,22,0.047
Hb,aq,h,3,-0.189
Hc,aq,c,40,-0.193
Hd,aq,h,28,0.268
He,aq,h,38,0.09
Hf,aq,c,40,-0.113
Hg,ar,c,3,-0.183
Hh,ar,c,3,-0.161
Hi,ar,h,3,0.237
Hj,ar,c,3,-0.215
Hk,ar,c,22,0.463
Hl,ar,c,22,0.215
Hm,ar,c,3,-0.213
Hn,ar,c,3,0.054
Ho,ar,h,3,0.025
Hp,ar,h,22,0.052
Hq,ar,c,22,0.385
Hr,ar,h,3,0.139
Hs,ar,h,22,-0.119
Ht,ar,c,3,0.014
Hu,ar,h,40,0.292
Hv,ar,c,3,0.552
Hw,ar,c,3,0.275
Hx,ar,c,3,0.167
Hy,ar,h,22,-0.093
Hz,ar,c,3,0.417
HA,ar,h,3,0.43
HB,ar,h,40,0.081
HC,ar,h,3,0.043
HD,ar,c,3,-0.273
HE,ar,c,3,0.064
HF,ar,c,22,0.289
HG,ar,c,38,0.239
HH,ar,h,3,-0.465
HI,ar,i,3,-0.413
HJ,ar,h,27,0.027
HK,ar,h,10,0.029
HL,ar,c,40,0.177
HM,ar,c,3,0.091
HN,as,h,3,0.293
HO,as,c,27,0.727
HP,as,c,3,0.265
HQ,as,c,40,-0.229
HR,as,o,3,-0.346
HS,as,h,3,0.174
HT,as,c,22,0.254
HU,as,h,40,0.143
HV,as,o,3,0.095
HW,as,h,3,-0.333
HX,as,o,3,0.299
HY,as,c,3,-0.088
HZ,as,h,22,0.24
Ia,as,c,3,-0.381
Ib,as,c,3,-0.399
Ic,as,h,3,-0.464
Id,as,h,28,-0.2
Ie,as,c,22,0.109
If,as,c,3,0.202
Ig,as,h,28,-0.318
Ih,as,c,3,-0.521
Ii,as,h,22,0.502
Ij,as,h,42,-0.387
Ik,as,o,40,-0.177
Il,as,h,3,-0.352
Im,as,c,3,-0.064
In,as,h,3,0.395
Io,as,h,22,-0.38
Ip,as,i,27,0.522
Iq,as,o,3,-0.317
Ir,as,i,3,-0.754
Is,as,o,3,0.785
It,as,c,3,0.041
Iu,as,c,22,-0.229
Iv,at,o,40,-0.134
Iw,at,h,22,0.586
Ix,at,c,3,0.248
Iy,at,c,3,0.028
Iz,at,h,22,0.101
IA,at,c,3,0.319
IB,at,c,3,-0.232
IC,at,o,22,0.355
ID,at,h,22,-0.188
IE,at,o,40,0.055
IF,at,c,3,0.193
IG,at,c,22,-0.203
IH,at,c,42,-0.251
II,at,h,42,0.261
IJ,at,c,40,0.224
IK,at,h,3,-0.434
IL,at,h,3,-0.161
IM,at,c,29,-0.137
IN,at,c,38,0.096
IO,at,h,22,0.102
IP,at,c,3,0.236
IQ,at,c,3,0.052
IR,at,o,40,-0.348
IS,at,h,3,0.496
IT,at,c,1,-0.518
IU,at,h,40,-0.034
IV,au,c,40,-0.11
IW,au,h,40,0.119
IX,au,c,38,0.116
IY,au,h,42,0.015
IZ,au,o,3,-0.011
Ja,au,c,21,0.358
Jb,au,h,40,0.018
Jc,au,n,3,0.284
Jd,au,c,3,-0.296
Je,au,h,38,-0.141
Jf,au,h,3,-0.024
Jg,au,c,22,-0.104
Jh,au,c,27,0.156
Ji,au,c,40,0.234
Jj,au,h,38,0.072
Jk,au,h,22,0.062
Jl,au,c,3,0.106
Jm,au,h,38,-0.372
Jn,au,h,40,-0.25
Jo,au,h,27,0.181
Jp,au,c,22,-0.464
Jq,au,h,3,0.0
Jr,au,h,22,-0.383
Js,av,c,3,-0.075
Jt,av,c,22,0.069
Ju,av,c,3,0.249
Jv,av,c,3,0.212
Jw,av,h,38,-0.074
Jx,av,h,40,-0.097
Jy,av,c,3,0.161
Jz,av,c,3,0.238
JA,av,h,40,-0.288
JB,av,h,40,-0.31
JC,av,c,3,0.111
JD,av,c,3,-0.043
JE,av,c,22,0.126
JF,av,c,3,0.188
JG,av,h,40,-0.27
JH,av,h,3,0.2
JI,av,h,3,-0.17
JJ,av,c,3,-0.129
JK,av,h,29,0.058
JL,av,h,40,-0.189
JM,aw,h,22,-0.548
JN,aw,h,3,-0.2
JO,aw,h,40,0.107
JP,aw,h,22,-0.447
JQ,aw,o,3,0.186
JR,aw,h,40,-0.247
JS,aw,c,3,0.49
JT,aw,c,22,-0.165
JU,aw,i,42,0.075
JV,aw,c,22,0.211
JW,aw,h,3,-0.128
JX,aw,i,42,-0.212
JY,aw,h,22,-0.22
JZ,aw,h,42,-0.093
Ka,aw,n,3,0.221
Kb,aw,i,42,0.069
Kc,aw,c,3,0.235
Kd,ax,c,22,-0.031
Ke,ax,c,3,0.018
Kf,ax,h,22,0.157
Kg,ax,h,3,0.02
Kh,ax,c,27,0.038
Ki,ax,o,40,-0.072
Kj,ax,c,22,0.178
Kk,ax,c,22,-0.202
Kl,ax,c,22,0.148
Km,ax,h,40,0.078
Kn,ax,c,22,0.178
Ko,ax,c,3,0.138
Kp,ax,h,40,0.033
Kq,ax,c,22,0.321
Kr,ax,h,40,-0.069
Ks,ax,c,22,-0.119
Kt,ax,h,22,-0.266
Ku,ax,h,3,-0.013
Kv,ax,c,3,-0.08
Kw,ax,c,3,0.339
Kx,ax,c,3,-0.26
Ky,ax,o,3,-0.257
Kz,ax,c,22,0.193
KA,ax,h,38,-0.008
KB,ax,c,22,-0.316
KC,ax,h,3,0.181
KD,ax,o,40,0.274
KE,ax,c,3,-0.287
KF,ax,h,3,0.118
KG,ax,c,3,-0.426
KH,ax,c,22,0.035
KI,ax,c,3,-0.174
KJ,ax,c,3,0.311
KK,ax,c,3,-0.103
KL,ax,h,3,0.029
KM,ax,c,3,0.083
KN,ax,h,3,0.086
KO,ax,h,42,-0.457
KP,ay,h,3,0.518
KQ,ay,h,3,0.096
KR,ay,h,3,0.008
KS,ay,h,3,0.24
KT,ay,o,40,0.284
KU,ay,h,3,-0.112
KV,ay,h,3,0.133
KW,ay,h,40,0.024
KX,ay,c,22,0.009
KY,ay,i,40,0.236
KZ,ay,o,40,0.356
La,ay,h,3,0.16
Lb,ay,c,3,-0.781
Lc,ay,c,3,-0.403
Ld,ay,c,22,-0.066
Le,ay,o,3,0.255
Lf,ay,c,22,-0.183
Lg,ay,h,22,0.876
Lh,ay,n,40,0.39
Li,ay,h,22,0.473
Lj,ay,o,3,0.17
Lk,ay,c,40,0.345
Ll,ay,h,40,-0.645
Lm,ay,h,3,0.157
Ln,ay,c,22,0.53
Lo,ay,c,22,-0.154
Lp,ay,c,3,0.205
Lq,ay,h,19,-0.146
Lr,ay,c,22,0.43
Ls,ay,i,3,0.438
Lt,ay,i,3,-0.658
Lu,ay,c,3,0.216
Lv,az,c,40,0.141
Lw,az,c,3,-0.292
Lx,az,c,40,-0.071
Ly,az,c,3,-0.023
Lz,az,h,22,0.01
LA,az,h,22,0.429
LB,az,c,45,-0.233
LC,az,h,22,-0.08
LD,az,c,3,-0.003
LE,az,c,40,0.197
LF,az,c,42,-0.097
LG,az,c,42,-0.077
LH,az,c,3,0.029
LI,az,h,40,-0.286
LJ,az,c,22,-0.027
LK,az,c,3,0.053
LL,az,h,38,-0.194
LM,az,h,3,0.318
