Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
fB,d,c,9329.0,3.0,2011.0,0,0.0,0.0,
fC,b,a,8308.0,7.0,2011.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
fD,a,a,2303.0,0.0,2014.0,0,0.0,0.0,
fE,b,c,1507.0,11.0,2008.0,0,0.0,2011.0,
fF,c,a,4716.0,0.0,0.0,0,0.0,2011.0,
fG,d,a,11419.0,2.0,1998.0,0,0.0,0.0,
fH,a,a,17104.0,11.0,2012.0,0,0.0,0.0,
fI,a,c,7073.0,12.0,2012.0,0,0.0,0.0,
fJ,d,a,0.0,0.0,0.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
fK,d,a,1691.0,11.0,2010.0,1,37.0,2014.0,"Feb,May,Aug,Nov"
fL,a,a,6342.0,4.0,2014.0,1,31.0,2014.0,"Jan,Apr,Jul,Oct"
fM,a,c,19671.0,10.0,2006.0,0,0.0,0.0,
fN,a,c,5567.0,4.0,2010.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
fO,a,a,2841.0,8.0,2010.0,0,0.0,0.0,
fP,c,c,13642.0,0.0,0.0,1,39.0,2015.0,"Mar,Jun,Sept,Dec"
fQ,a,a,7494.0,0.0,0.0,0,0.0,0.0,
fR,d,a,12333.0,9.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
fS,d,c,9785.0,5.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
fT,a,a,6653.0,9.0,2010.0,1,13.0,2013.0,"Feb,May,Aug,Nov"
fU,a,a,8883.0,0.0,2008.0,1,45.0,2013.0,"Jan,Apr,Jul,Oct"
fV,a,c,1676.0,9.0,0.0,0,0.0,0.0,
fW,d,c,6757.0,4.0,2010.0,0,5.0,2009.0,"Jan,Apr,Jul,Oct"
fX,d,b,20128.0,11.0,2005.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
fY,c,a,9201.0,12.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
fZ,d,c,17386.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
ga,d,a,11432.0,0.0,2014.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
gb,d,c,19970.0,0.0,0.0,0,0.0,0.0,
gc,a,c,20632.0,10.0,2001.0,0,0.0,0.0,
gd,a,a,14390.0,0.0,1998.0,0,0.0,0.0,
ge,a,c,12145.0,0.0,2014.0,0,0.0,2011.0,
gf,d,c,9636.0,2.0,2009.0,0,0.0,0.0,
gg,d,c,0.0,0.0,0.0,1,31.0,2014.0,"Feb,May,Aug,Nov"
gh,d,c,3056.0,6.0,2014.0,1,31.0,2011.0,"Jan,Apr,Jul,Oct"
gi,a,c,2093.0,9.0,2012.0,0,14.0,0.0,
gj,a,a,11208.0,0.0,2013.0,1,14.0,0.0,"Jan,Apr,Jul,Oct"
gk,a,a,9121.0,9.0,0.0,0,0.0,0.0,
gl,a,a,3350.0,4.0,2014.0,0,0.0,0.0,
gm,a,a,0.0,12.0,2014.0,0,0.0,0.0,
gn,a,a,0.0,9.0,2012.0,0,0.0,0.0,
go,b,a,0.0,4.0,2011.0,1,31.0,2011.0,"Jan,Apr,Jul,Oct"
gp,d,a,4619.0,1.0,2006.0,0,0.0,0.0,
gq,a,a,19071.0,0.0,0.0,1,0.0,2011.0,"Jan,Apr,Jul,Oct"
gr,d,c,587.0,1.0,2004.0,0,31.0,2013.0,"Jan,Apr,Jul,Oct"
gs,a,a,0.0,7.0,2007.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
gt,a,c,7800.0,0.0,2012.0,0,0.0,0.0,
gu,a,b,6230.0,11.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
gv,a,c,15252.0,7.0,2014.0,0,0.0,0.0,
gw,a,c,17300.0,0.0,2008.0,0,0.0,0.0,
gx,a,a,7576.0,9.0,0.0,1,28.0,2012.0,"Mar,Jun,Sept,Dec"
gy,d,c,1779.0,12.0,2013.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
gz,a,c,2332.0,0.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
gA,a,a,7531.0,7.0,2010.0,0,0.0,0.0,
gB,d,c,9851.0,4.0,2012.0,1,37.0,2014.0,"Feb,May,Aug,Nov"
gC,a,a,0.0,11.0,2010.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
gD,d,c,11359.0,0.0,0.0,0,40.0,2013.0,"Jan,Apr,Jul,Oct"
gE,d,a,0.0,12.0,2014.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
gF,a,a,0.0,0.0,2014.0,0,0.0,0.0,
gG,a,a,16855.0,9.0,2012.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
gH,d,c,3982.0,4.0,0.0,0,0.0,0.0,
gI,a,c,1717.0,3.0,2010.0,1,28.0,2014.0,"Jan,Apr,Jul,Oct"
gJ,d,a,1589.0,10.0,2011.0,0,0.0,0.0,
gK,d,a,132.0,9.0,0.0,1,31.0,2014.0,"Jan,Apr,Jul,Oct"
gL,a,c,0.0,3.0,2013.0,1,35.0,2010.0,"Feb,May,Aug,Nov"
gM,d,a,7620.0,11.0,0.0,0,0.0,0.0,
gN,a,a,2974.0,1.0,1998.0,0,0.0,0.0,
gO,a,a,0.0,11.0,2014.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
gP,a,b,1596.0,9.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
gQ,a,a,11425.0,0.0,0.0,1,31.0,0.0,"Jan,Apr,Jul,Oct"
gR,a,c,16508.0,9.0,2008.0,0,0.0,0.0,
gS,a,a,4597.0,0.0,2014.0,0,0.0,0.0,
gT,a,a,963.0,3.0,2012.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
gU,a,c,15805.0,0.0,0.0,1,31.0,2010.0,"Jan,Apr,Jul,Oct"
gV,a,c,14037.0,0.0,2013.0,0,0.0,0.0,
gW,c,a,5037.0,6.0,2004.0,0,0.0,0.0,
gX,a,a,0.0,0.0,0.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
gY,a,a,13862.0,11.0,2012.0,1,0.0,0.0,
gZ,a,a,12290.0,11.0,2009.0,0,0.0,0.0,
ha,a,a,907.0,0.0,2012.0,0,0.0,0.0,
hb,b,c,8562.0,0.0,0.0,1,40.0,2011.0,"Feb,May,Aug,Nov"
hc,a,a,11830.0,0.0,2010.0,0,0.0,0.0,
hd,a,c,0.0,12.0,2012.0,1,14.0,0.0,
he,d,a,0.0,9.0,0.0,0,0.0,0.0,
hf,a,a,5770.0,4.0,2009.0,0,0.0,0.0,
hg,a,a,6198.0,3.0,2014.0,0,0.0,0.0,
hh,a,c,4944.0,11.0,2005.0,1,31.0,2014.0,"Feb,May,Aug,Nov"
hi,a,a,17711.0,10.0,2008.0,0,0.0,0.0,
hj,d,c,14204.0,4.0,2014.0,0,0.0,0.0,
hk,a,c,4977.0,11.0,2008.0,1,0.0,0.0,
hl,a,a,0.0,4.0,2009.0,0,0.0,0.0,
hm,d,a,5430.0,7.0,2013.0,1,0.0,2011.0,
hn,d,c,12053.0,0.0,0.0,0,1.0,2013.0,"Jan,Apr,Jul,Oct"
ho,a,c,16307.0,7.0,2007.0,0,0.0,2011.0,"Jan,Apr,Jul,Oct"
hp,a,c,0.0,4.0,2012.0,1,0.0,0.0,
hq,d,a,5490.0,9.0,2012.0,1,28.0,2010.0,"Mar,Jun,Sept,Dec"
hr,b,a,10447.0,9.0,0.0,0,14.0,2014.0,"Jan,Apr,Jul,Oct"
hs,a,c,17816.0,1.0,2001.0,0,0.0,0.0,
ht,d,a,8491.0,0.0,0.0,1,0.0,2011.0,"Jan,Apr,Jul,Oct"
hu,d,a,20050.0,7.0,2011.0,0,0.0,0.0,
hv,d,a,12489.0,0.0,2014.0,1,18.0,2013.0,"Feb,May,Aug,Nov"
hw,c,c,9372.0,0.0,0.0,1,22.0,2013.0,"Feb,May,Aug,Nov"
hx,a,a,0.0,4.0,2006.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
hy,a,a,12037.0,11.0,0.0,0,0.0,0.0,
hz,a,a,0.0,5.0,1998.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
hA,a,a,8608.0,4.0,2013.0,1,31.0,2012.0,"Feb,May,Aug,Nov"
hB,a,c,1387.0,9.0,2012.0,0,0.0,2013.0,
hC,d,c,1089.0,11.0,2008.0,1,0.0,0.0,
hD,a,a,5545.0,9.0,2012.0,1,28.0,2010.0,"Mar,Jun,Sept,Dec"
hE,a,c,24552.0,9.0,2014.0,0,0.0,0.0,
hF,d,a,6316.0,6.0,1995.0,0,0.0,0.0,
hG,d,c,12820.0,3.0,0.0,0,0.0,0.0,
hH,d,a,0.0,11.0,2010.0,1,40.0,2010.0,"Feb,May,Aug,Nov"
hI,d,b,29684.0,0.0,0.0,1,0.0,0.0,
hJ,d,c,15193.0,0.0,0.0,0,1.0,2013.0,"Jan,Apr,Jul,Oct"
hK,c,a,8710.0,3.0,1998.0,1,14.0,2014.0,"Jan,Apr,Jul,Oct"
hL,d,b,6789.0,3.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
hM,d,a,2310.0,9.0,0.0,0,0.0,0.0,
hN,d,a,5662.0,0.0,0.0,0,0.0,0.0,
hO,c,a,974.0,9.0,0.0,1,0.0,2011.0,"Jan,Apr,Jul,Oct"
hP,a,c,10171.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
hQ,a,c,0.0,4.0,2014.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
hR,d,a,0.0,5.0,2004.0,1,14.0,2011.0,
hS,a,a,0.0,4.0,0.0,0,0.0,2011.0,"Jan,Apr,Jul,Oct"
hT,a,a,7756.0,0.0,2005.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
hU,c,c,4818.0,9.0,2013.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
hV,a,a,12210.0,3.0,0.0,1,13.0,2011.0,"Jan,Apr,Jul,Oct"
hW,d,a,0.0,12.0,2012.0,0,0.0,2013.0,
hX,d,c,0.0,0.0,0.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
hY,d,a,0.0,9.0,2014.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
hZ,a,a,0.0,1.0,2007.0,0,0.0,0.0,
ia,a,a,5732.0,11.0,2009.0,0,0.0,0.0,
ib,a,a,1788.0,0.0,0.0,0,0.0,0.0,
ic,a,a,16129.0,0.0,2014.0,1,31.0,2014.0,"Jan,Apr,Jul,Oct"
id,a,a,5332.0,7.0,2003.0,1,10.0,2011.0,"Jan,Apr,Jul,Oct"
ie,d,c,11418.0,10.0,1999.0,1,13.0,2012.0,"Jan,Apr,Jul,Oct"
if,a,c,6790.0,4.0,2009.0,0,0.0,0.0,
ig,a,a,6671.0,9.0,2005.0,1,28.0,2012.0,"Mar,Jun,Sept,Dec"
ih,a,c,3897.0,0.0,0.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
ii,a,a,5408.0,11.0,2011.0,0,0.0,2013.0,
ij,a,a,10320.0,0.0,2014.0,1,1.0,2015.0,"Jan,Apr,Jul,Oct"
ik,a,a,5568.0,0.0,2010.0,0,0.0,0.0,
il,d,c,17435.0,4.0,2005.0,0,0.0,2011.0,"Jan,Apr,Jul,Oct"
im,c,a,1374.0,4.0,2013.0,1,13.0,2012.0,"Feb,May,Aug,Nov"
in,c,c,0.0,8.0,2011.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
io,d,a,14276.0,0.0,2012.0,1,0.0,2013.0,
ip,d,a,15740.0,0.0,2012.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
iq,a,a,3232.0,9.0,2014.0,1,1.0,2009.0,"Jan,Apr,Jul,Oct"
ir,a,a,1521.0,10.0,1998.0,0,0.0,0.0,
is,a,a,9381.0,10.0,1998.0,0,31.0,2013.0,"Jan,Apr,Jul,Oct"
it,d,a,2662.0,9.0,2013.0,0,0.0,0.0,
iu,d,a,0.0,11.0,2014.0,0,0.0,2011.0,
iv,d,a,9871.0,9.0,0.0,0,0.0,0.0,
iw,a,c,1590.0,8.0,2009.0,1,31.0,2011.0,"Jan,Apr,Jul,Oct"
ix,d,a,3949.0,0.0,2013.0,0,0.0,0.0,
iy,a,a,0.0,12.0,2014.0,1,1.0,2013.0,"Feb,May,Aug,Nov"
iz,d,c,0.0,9.0,2009.0,0,0.0,2011.0,
iA,a,c,0.0,4.0,2008.0,0,0.0,0.0,
iB,a,a,17673.0,9.0,2014.0,0,40.0,0.0,
iC,a,c,0.0,11.0,2013.0,0,0.0,0.0,
iD,a,a,8148.0,10.0,2009.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
iE,d,c,0.0,0.0,2012.0,0,40.0,0.0,"Jan,Apr,Jul,Oct"
iF,d,c,12683.0,9.0,0.0,0,0.0,0.0,
iG,a,a,4946.0,4.0,2014.0,0,0.0,0.0,
iH,b,c,4352.0,9.0,2008.0,1,40.0,0.0,"Jan,Apr,Jul,Oct"
iI,a,c,11631.0,1.0,2006.0,1,0.0,0.0,
iJ,d,a,9572.0,12.0,2014.0,0,0.0,0.0,
iK,a,c,8736.0,0.0,0.0,0,0.0,0.0,
iL,a,a,7011.0,4.0,2006.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
iM,a,a,1024.0,9.0,2013.0,1,0.0,0.0,
iN,a,c,0.0,9.0,2013.0,0,5.0,2011.0,"Jan,Apr,Jul,Oct"
iO,d,c,7379.0,8.0,2009.0,0,0.0,0.0,
iP,c,c,3857.0,6.0,2006.0,1,0.0,0.0,
iQ,d,c,1736.0,0.0,0.0,1,1.0,2013.0,"Feb,May,Aug,Nov"
iR,d,c,12994.0,4.0,2008.0,1,0.0,0.0,
iS,d,a,1250.0,1.0,2014.0,1,31.0,2015.0,"Jan,Apr,Jul,Oct"
iT,a,c,3958.0,4.0,2013.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
iU,d,c,8992.0,12.0,2009.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
iV,a,a,0.0,3.0,2011.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
iW,b,c,1093.0,10.0,2006.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
iX,d,c,9653.0,7.0,2005.0,0,0.0,0.0,
iY,d,a,0.0,0.0,0.0,1,40.0,0.0,"Jan,Apr,Jul,Oct"
iZ,a,a,0.0,0.0,2013.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
ja,a,c,0.0,12.0,2012.0,1,28.0,2014.0,"Feb,May,Aug,Nov"
jb,a,c,0.0,1.0,2001.0,0,0.0,0.0,
jc,a,c,21526.0,7.0,2010.0,1,0.0,0.0,
jd,d,c,0.0,7.0,2012.0,1,10.0,2015.0,"Feb,May,Aug,Nov"
je,a,c,3734.0,0.0,0.0,1,13.0,2014.0,"Jan,Apr,Jul,Oct"
jf,a,a,10411.0,9.0,2008.0,0,0.0,0.0,
jg,c,c,1988.0,12.0,2010.0,1,22.0,2013.0,"Jan,Apr,Jul,Oct"
jh,a,c,0.0,9.0,2009.0,1,0.0,2013.0,"Jan,Apr,Jul,Oct"
ji,a,c,14418.0,4.0,2014.0,1,9.0,2015.0,"Mar,Jun,Sept,Dec"
jj,a,a,0.0,0.0,2012.0,1,31.0,2011.0,
jk,a,a,13607.0,0.0,0.0,0,0.0,0.0,
jl,d,c,6912.0,12.0,2012.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
jm,d,c,12019.0,0.0,2014.0,0,0.0,0.0,
jn,d,a,7469.0,6.0,2011.0,1,31.0,2014.0,"Jan,Apr,Jul,Oct"
jo,d,c,2431.0,12.0,2008.0,1,13.0,2014.0,"Jan,Apr,Jul,Oct"
jp,d,a,0.0,9.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
jq,a,a,0.0,2.0,2006.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
jr,a,b,15161.0,3.0,0.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
js,a,a,945.0,8.0,1998.0,0,0.0,0.0,
jt,a,a,0.0,2.0,2007.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
ju,c,a,6467.0,11.0,2014.0,1,40.0,2012.0,"Feb,May,Aug,Nov"
jv,a,c,14767.0,9.0,2015.0,0,14.0,0.0,
jw,a,a,600.0,9.0,2012.0,1,31.0,2014.0,"Jan,Apr,Jul,Oct"
jx,d,c,0.0,12.0,2005.0,0,0.0,0.0,
jy,d,a,3137.0,5.0,2006.0,1,28.0,2010.0,"Mar,Jun,Sept,Dec"
jz,d,c,0.0,6.0,2011.0,1,31.0,0.0,"Jan,Apr,Jul,Oct"
jA,a,c,9842.0,10.0,0.0,1,36.0,2015.0,"Feb,May,Aug,Nov"
jB,d,a,19085.0,0.0,0.0,1,1.0,2014.0,"Mar,Jun,Sept,Dec"
jC,a,c,20647.0,4.0,0.0,1,0.0,2011.0,
jD,d,c,8414.0,11.0,2013.0,1,40.0,0.0,"Jan,Apr,Jul,Oct"
jE,d,a,6438.0,0.0,2008.0,0,0.0,0.0,
jF,c,c,13269.0,0.0,0.0,0,0.0,0.0,
jG,a,a,607.0,0.0,2010.0,0,0.0,0.0,
jH,a,a,0.0,11.0,2002.0,0,0.0,0.0,
jI,d,c,0.0,4.0,2010.0,1,14.0,2013.0,
jJ,a,b,9734.0,12.0,2010.0,0,0.0,0.0,
jK,a,c,5076.0,10.0,2005.0,0,10.0,0.0,"Jan,Apr,Jul,Oct"
jL,d,a,2902.0,4.0,2011.0,0,0.0,0.0,
jM,a,a,6096.0,9.0,2012.0,0,0.0,0.0,
jN,d,a,0.0,3.0,2011.0,1,0.0,2011.0,"Jan,Apr,Jul,Oct"
jO,a,a,0.0,10.0,0.0,1,0.0,2011.0,
jP,a,c,18663.0,5.0,2009.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
jQ,a,a,0.0,9.0,2009.0,0,0.0,0.0,
jR,d,a,0.0,9.0,2014.0,0,0.0,0.0,
jS,d,c,13448.0,0.0,0.0,0,0.0,2011.0,"Jan,Apr,Jul,Oct"
jT,a,a,8618.0,1.0,1998.0,1,40.0,0.0,"Jan,Apr,Jul,Oct"
jU,a,c,10539.0,4.0,2005.0,0,0.0,0.0,
jV,d,a,3563.0,4.0,2010.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
jW,a,c,0.0,0.0,2005.0,1,10.0,2012.0,"Jan,Apr,Jul,Oct"
jX,a,a,10603.0,7.0,2015.0,1,0.0,0.0,
jY,a,a,4210.0,11.0,2006.0,1,31.0,2011.0,"Jan,Apr,Jul,Oct"
jZ,a,c,0.0,0.0,2013.0,1,5.0,2014.0,"Jan,Apr,Jul,Oct"
ka,a,a,770.0,0.0,0.0,0,0.0,0.0,
kb,c,a,20597.0,3.0,2011.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
kc,a,a,10670.0,7.0,2012.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
kd,a,c,0.0,4.0,2011.0,1,31.0,0.0,"Jan,Apr,Jul,Oct"
ke,b,b,11322.0,7.0,2006.0,0,0.0,0.0,
kf,a,a,4854.0,11.0,0.0,1,0.0,0.0,
kg,c,c,11688.0,4.0,1999.0,1,0.0,2014.0,
kh,a,a,5757.0,7.0,2013.0,0,0.0,2011.0,
ki,a,a,12260.0,9.0,2012.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
kj,a,a,8391.0,1.0,2006.0,0,0.0,0.0,
kk,d,c,15503.0,9.0,2012.0,0,0.0,0.0,
kl,d,a,0.0,3.0,0.0,0,0.0,0.0,
km,d,a,7381.0,5.0,2002.0,1,14.0,2011.0,
kn,a,a,24315.0,11.0,2014.0,1,10.0,2012.0,"Jan,Apr,Jul,Oct"
ko,a,a,4822.0,4.0,2014.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
kp,a,a,10912.0,6.0,2007.0,1,37.0,2012.0,"Jan,Apr,Jul,Oct"
kq,d,b,12387.0,0.0,0.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
kr,c,c,3677.0,11.0,2010.0,0,0.0,0.0,
ks,d,a,0.0,9.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
kt,a,c,15936.0,8.0,2000.0,0,0.0,0.0,
ku,d,c,0.0,10.0,2014.0,1,5.0,2009.0,"Jan,Apr,Jul,Oct"
kv,a,a,7796.0,0.0,0.0,1,37.0,2012.0,"Jan,Apr,Jul,Oct"
kw,a,c,12645.0,0.0,0.0,1,0.0,0.0,
kx,d,a,6896.0,9.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
ky,a,b,5094.0,0.0,2013.0,1,18.0,2009.0,"Mar,Jun,Sept,Dec"
kz,a,c,8140.0,3.0,2010.0,0,0.0,0.0,
kA,a,a,13223.0,0.0,2013.0,1,27.0,2009.0,"Mar,Jun,Sept,Dec"
kB,d,a,0.0,7.0,2005.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
kC,a,c,1955.0,4.0,2013.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
kD,a,a,0.0,4.0,2008.0,1,37.0,2014.0,"Jan,Apr,Jul,Oct"
kE,a,c,0.0,0.0,0.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
kF,d,c,0.0,7.0,2008.0,1,14.0,0.0,
kG,a,a,12794.0,9.0,0.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
kH,a,a,19216.0,0.0,2014.0,0,0.0,2011.0,
kI,d,c,6884.0,9.0,2005.0,1,0.0,0.0,
kJ,d,a,0.0,0.0,2014.0,1,45.0,2014.0,"Feb,May,Aug,Nov"
kK,a,c,13536.0,0.0,0.0,0,14.0,0.0,
kL,a,a,0.0,0.0,0.0,0,0.0,0.0,
kM,d,c,546.0,9.0,2012.0,1,28.0,2009.0,"Mar,Jun,Sept,Dec"
kN,a,c,0.0,0.0,0.0,1,45.0,2014.0,"Feb,May,Aug,Nov"
kO,a,a,18999.0,5.0,2011.0,0,0.0,0.0,
kP,a,c,8143.0,12.0,2010.0,0,0.0,0.0,
kQ,a,c,15487.0,0.0,0.0,1,37.0,2011.0,"Jan,Apr,Jul,Oct"
kR,d,a,23742.0,7.0,2015.0,1,36.0,2015.0,"Mar,Jun,Sept,Dec"
kS,d,a,10569.0,7.0,2006.0,1,37.0,2014.0,"Jan,Apr,Jul,Oct"
kT,a,a,2138.0,12.0,2014.0,0,0.0,0.0,
kU,a,c,10101.0,10.0,2011.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
kV,d,c,0.0,9.0,0.0,1,18.0,2012.0,"Jan,Apr,Jul,Oct"
kW,a,a,11136.0,3.0,2005.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
kX,c,c,12521.0,0.0,0.0,1,0.0,0.0,
kY,d,a,0.0,4.0,2007.0,0,0.0,0.0,
kZ,a,a,0.0,9.0,2005.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
la,d,a,448.0,11.0,0.0,1,0.0,0.0,
lb,d,c,16649.0,1.0,2009.0,0,0.0,0.0,
lc,a,c,1484.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
ld,d,a,12241.0,0.0,2005.0,0,0.0,0.0,
le,a,c,3984.0,3.0,2012.0,0,0.0,0.0,
lf,a,c,8007.0,6.0,2011.0,0,0.0,0.0,
lg,a,c,8637.0,10.0,2011.0,0,0.0,0.0,
lh,a,c,6880.0,4.0,2015.0,1,0.0,2011.0,"Jan,Apr,Jul,Oct"
li,c,c,8108.0,9.0,0.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
lj,a,a,0.0,10.0,2004.0,1,0.0,2011.0,
lk,a,a,0.0,0.0,0.0,1,27.0,2015.0,"Mar,Jun,Sept,Dec"
ll,a,a,0.0,3.0,2012.0,0,0.0,0.0,
lm,a,c,0.0,0.0,0.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
ln,d,a,3785.0,4.0,2008.0,1,13.0,2009.0,"Feb,May,Aug,Nov"
lo,d,c,6113.0,0.0,2013.0,1,0.0,0.0,"Jan,Apr,Jul,Oct"
lp,d,a,0.0,9.0,0.0,1,45.0,2014.0,"Feb,May,Aug,Nov"
lq,d,a,20542.0,4.0,2012.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
lr,a,a,8.0,0.0,0.0,0,0.0,0.0,
ls,a,a,14311.0,0.0,0.0,1,0.0,2011.0,
lt,a,c,9375.0,3.0,0.0,0,0.0,0.0,
lu,b,c,14767.0,0.0,0.0,1,14.0,2011.0,
lv,a,c,16356.0,0.0,0.0,0,0.0,0.0,
lw,a,a,0.0,11.0,2002.0,1,10.0,0.0,"Jan,Apr,Jul,Oct"
lx,a,a,0.0,3.0,2012.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
ly,a,c,10241.0,0.0,0.0,0,0.0,0.0,
lz,d,c,293.0,0.0,0.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
lA,a,c,26327.0,12.0,2001.0,1,31.0,2011.0,"Jan,Apr,Jul,Oct"
lB,a,c,0.0,11.0,2005.0,1,40.0,0.0,"Jan,Apr,Jul,Oct"
lC,a,a,4026.0,4.0,2008.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
lD,a,a,914.0,0.0,0.0,1,40.0,0.0,"Jan,Apr,Jul,Oct"
lE,a,c,11346.0,4.0,0.0,0,14.0,2014.0,"Jan,Apr,Jul,Oct"
lF,a,a,4665.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
lG,d,c,5294.0,0.0,2015.0,0,0.0,0.0,
lH,d,a,8909.0,8.0,2012.0,1,10.0,2012.0,"Feb,May,Aug,Nov"
lI,d,c,9330.0,4.0,0.0,0,0.0,0.0,
lJ,a,a,7764.0,3.0,0.0,0,0.0,0.0,
lK,a,a,0.0,11.0,2011.0,0,0.0,0.0,
lL,d,c,8037.0,4.0,2007.0,0,0.0,0.0,
lM,a,a,5120.0,0.0,2013.0,0,0.0,0.0,
lN,a,c,0.0,0.0,2014.0,0,0.0,0.0,
lO,d,c,0.0,0.0,0.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
lP,a,c,9652.0,9.0,0.0,0,0.0,0.0,
lQ,a,c,0.0,7.0,2012.0,1,28.0,2015.0,"Mar,Jun,Sept,Dec"
lR,a,a,8640.0,0.0,2013.0,1,1.0,2009.0,"Jan,Apr,Jul,Oct"
lS,c,a,9534.0,11.0,2008.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
lT,a,c,19538.0,12.0,2014.0,0,0.0,0.0,
lU,a,c,166.0,5.0,2006.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
lV,a,a,7923.0,12.0,1998.0,1,14.0,0.0,"Jan,Apr,Jul,Oct"
lW,c,c,0.0,9.0,2013.0,0,0.0,0.0,
lX,a,c,8060.0,0.0,2005.0,1,37.0,2013.0,"Mar,Jun,Sept,Dec"
lY,a,a,18465.0,12.0,2011.0,0,0.0,0.0,
lZ,a,c,11750.0,0.0,0.0,1,40.0,2014.0,"Feb,May,Aug,Nov"
ma,d,a,0.0,1.0,2009.0,0,0.0,0.0,
mb,a,a,14795.0,7.0,2005.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
mc,a,a,2784.0,0.0,2012.0,0,0.0,0.0,
md,c,a,0.0,4.0,2012.0,0,0.0,0.0,"Jan,Apr,Jul,Oct"
